SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,starSearch
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-09T09:06:47.172Z
sessionDurationMs,279905
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,5000/4000/2500
fixationJitterMs,500-800
itemSizePx,56
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,searchType,setSize,targetItem,distractor1Item,distractor2Item,distractor1Count,distractor2Count,fixationDuration,targetX,targetY,clickX,clickY,clickDistance,clickedItemType,emptyClickCount
3,98,18,222897,darkturquoise_triangle,darkturquoise_ring,-1,2190,1420,0,conjunction,41,darkturquoise_ring,darkorange_ring,darkturquoise_triangle,23,17,770,851,596,982,518,152,distractor,0
3,99,19,225086,darkturquoise_cross,darkturquoise_cross,1,1880,1227,0,conjunction,41,darkturquoise_cross,gold_cross,darkturquoise_pentagon,25,15,653,985,530,985,520,10,target,0
3,100,20,226967,timeout,purple_diamond,0,3293,2500,0,conjunction,41,purple_diamond,royalblue_diamond,purple_triangle,23,17,793,848,261,-1,-1,-1,timeout,0
3,101,21,230286,timeout,darkturquoise_hexagon,0,3169,2500,0,conjunction,41,darkturquoise_hexagon,saddlebrown_hexagon,darkturquoise_semicircle,20,20,669,982,527,-1,-1,-1,timeout,0
3,102,22,233469,purple_hexagon,purple_hexagon,1,2902,2105,0,conjunction,41,purple_hexagon,saddlebrown_hexagon,purple_square,25,15,797,785,463,798,457,15,target,0
3,103,23,236371,timeout,green_triangle,0,3105,2500,0,conjunction,41,green_triangle,deeppink_triangle,green_hexagon,24,16,605,917,394,-1,-1,-1,timeout,0
3,104,24,239502,dimgray_semicircle,dimgray_semicircle,1,2462,1746,0,conjunction,41,dimgray_semicircle,deeppink_semicircle,dimgray_ring,20,20,716,919,398,928,388,14,target,0
3,105,25,241964,timeout,red_triangle,0,3101,2500,0,conjunction,41,red_triangle,dimgray_triangle,red_ring,20,20,601,784,260,-1,-1,-1,timeout,0
3,106,26,245086,red_star,red_star,1,2261,1478,0,conjunction,41,red_star,saddlebrown_star,red_circle,23,17,783,782,264,794,256,15,target,0
3,107,27,247347,royalblue_semicircle,royalblue_semicircle,1,2376,1803,0,conjunction,41,royalblue_semicircle,green_semicircle,royalblue_pentagon,25,15,573,986,594,990,566,28,target,0
3,108,28,249723,deeppink_circle,deeppink_circle,1,1739,1188,0,conjunction,41,deeppink_circle,darkorange_circle,deeppink_ring,24,16,551,783,261,794,267,13,target,0
3,109,29,251462,darkturquoise_cross,darkturquoise_cross,1,1967,1219,0,conjunction,41,darkturquoise_cross,royalblue_cross,darkturquoise_hexagon,22,18,748,785,327,787,331,4,target,0
3,110,30,253429,saddlebrown_square,saddlebrown_square,1,2085,1325,0,conjunction,41,saddlebrown_square,darkturquoise_square,saddlebrown_diamond,22,18,760,849,465,848,478,13,target,0
3,111,31,255514,royalblue_square,royalblue_square,1,1941,1153,0,conjunction,41,royalblue_square,darkorange_square,royalblue_diamond,22,18,788,714,327,727,324,14,target,0
3,112,32,257455,green_diamond,green_pentagon,-1,2923,2154,0,conjunction,41,green_pentagon,darkturquoise_pentagon,green_diamond,21,19,769,649,664,660,468,197,distractor,0
3,113,33,260378,deeppink_pentagon,deeppink_pentagon,1,2505,1867,0,conjunction,41,deeppink_pentagon,dimgray_pentagon,deeppink_diamond,22,18,638,584,532,570,528,14,target,0
3,114,34,262883,purple_star,purple_star,1,2282,1662,0,conjunction,41,purple_star,darkorange_star,purple_diamond,25,15,620,649,465,658,459,11,target,0
3,115,35,265165,darkorange_pentagon,darkorange_pentagon,1,2290,1503,0,conjunction,41,darkorange_pentagon,dimgray_pentagon,darkorange_semicircle,24,16,787,785,661,786,651,10,target,0
3,116,36,267455,green_triangle,green_triangle,1,1703,1183,0,conjunction,41,green_triangle,royalblue_triangle,green_square,20,20,520,848,262,847,264,2,target,0
3,117,37,269158,deeppink_cross,deeppink_cross,1,1554,872,0,conjunction,41,deeppink_cross,saddlebrown_cross,deeppink_square,20,20,682,785,397,793,390,11,target,0
3,118,38,270712,saddlebrown_star,saddlebrown_star,1,1757,1251,0,conjunction,41,saddlebrown_star,red_star,saddlebrown_diamond,23,17,506,718,331,717,332,1,target,0
3,119,39,272469,royalblue_star,royalblue_star,1,1913,1408,0,conjunction,41,royalblue_star,gold_star,royalblue_diamond,23,17,505,652,394,664,390,12,target,0
3,120,40,274382,darkorange_semicircle,darkorange_semicircle,1,2660,2094,0,conjunction,41,darkorange_semicircle,deeppink_semicircle,darkorange_star,25,15,566,1054,527,1059,533,8,target,0
